,price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,brand
43891,2600,2002,honda accord,2,4,gas,177000,manual,coupe,unknown,0,honda
43892,8995,2010,ford edge,3,6,gas,132000,automatic,SUV,red,0,ford
43893,6000,2010,dodge charger,3,8,gas,152000,automatic,sedan,white,0,dodge
43894,9995,2011,ford mustang,3,6,gas,112000,automatic,coupe,unknown,0,ford
43895,3995,1997,ford taurus,2,6,gas,98000,automatic,sedan,blue,0,ford
43896,24000,2011,ford f-250,3,8,gas,34179,automatic,truck,white,1,ford
43897,7999,2013,ford fusion,2,4,gas,98000,automatic,sedan,black,0,ford
43898,6499,2005,chevrolet silverado 1500,2,8,gas,158000,automatic,truck,red,1,chevrolet
43899,6299,2012,chevrolet impala,2,6,gas,84248,automatic,sedan,silver,0,chevrolet
43900,5700,2007,acura tl,3,6,gas,150000,automatic,sedan,unknown,0,acura
43901,3650,1999,ram 1500,2,6,gas,104200,manual,pickup,purple,0,ram
43902,23951,2003,gmc sierra 2500hd,3,8,diesel,93355,automatic,truck,grey,1,gmc
43903,19950,2013,chevrolet silverado 1500,3,8,gas,139321,automatic,truck,unknown,1,chevrolet
43904,13900,2017,chevrolet equinox,3,6,gas,117576,automatic,SUV,blue,1,chevrolet
43905,9850,2001,chevrolet silverado 1500,3,8,gas,183007,automatic,truck,grey,1,chevrolet
43906,20883,2013,chevrolet silverado 1500,3,8,gas,98000,automatic,pickup,white,1,chevrolet
43907,9995,2017,nissan versa,3,4,gas,38902,automatic,sedan,unknown,0,nissan
43908,17950,2013,chevrolet silverado 1500,3,8,gas,163490,automatic,truck,white,1,chevrolet
43909,2500,2004,jeep liberty,1,4,gas,158000,automatic,SUV,white,0,jeep
43910,7000,2013,volkswagen jetta,3,4,gas,58000,automatic,sedan,black,0,volkswagen
43911,3900,2006,toyota camry,2,4,gas,206700,automatic,sedan,unknown,0,toyota
43912,10998,2011,honda pilot,3,6,gas,140500,automatic,SUV,black,0,honda
43913,2995,2005,dodge grand caravan,2,6,gas,123000,automatic,mini-van,white,0,dodge
43914,2100,2001,ford taurus,2,6,gas,150000,automatic,sedan,green,0,ford
43915,12900,2013,ford econoline,3,8,gas,147195,automatic,sedan,white,0,ford
43916,12500,2009,gmc sierra 1500,3,8,gas,163120,automatic,truck,blue,0,gmc
43917,16995,2010,jeep wrangler unlimited,3,6,gas,113000,manual,SUV,green,1,jeep
43918,14950,2009,gmc sierra 1500,3,8,gas,160583,automatic,truck,white,1,gmc
43920,3400,2009,ford focus se,3,4,gas,148000,automatic,sedan,silver,1,ford
43921,13995,2015,gmc yukon,2,8,hybrid,84000,automatic,SUV,unknown,1,gmc
43922,11995,2011,jeep grand cherokee,3,6,gas,128000,automatic,SUV,red,1,jeep
43923,5495,2012,chevrolet cruze,3,4,gas,106674,automatic,sedan,blue,0,chevrolet
43924,20995,2007,chevrolet corvette,3,8,gas,137000,automatic,coupe,red,0,chevrolet
43925,11283,2014,ford explorer,3,6,gas,149000,automatic,SUV,white,1,ford
43926,8683,2005,chevrolet silverado 1500,2,8,gas,201000,automatic,pickup,white,1,chevrolet
